I, [2014-07-08T12:56:53.278359 #45607]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2014-07-08T12:56:53.279162 #45607] ERROR -- Kitchen: ------Exception-------
E, [2014-07-08T12:56:53.279222 #45607] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-07-08T12:56:53.279270 #45607] ERROR -- Kitchen: Message: Kitchen YAML file /Users/bao/Dropbox/src/cumulus-linux/recipes/.kitchen.yml does not exist.
E, [2014-07-08T12:56:53.279315 #45607] ERROR -- Kitchen: ------Backtrace-------
E, [2014-07-08T12:56:53.279359 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2014-07-08T12:56:53.279404 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:78:in `data'
E, [2014-07-08T12:56:53.279446 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:66:in `suites'
E, [2014-07-08T12:56:53.279488 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:90:in `filter_instances'
E, [2014-07-08T12:56:53.279532 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:72:in `build_instances'
E, [2014-07-08T12:56:53.279581 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:52:in `instances'
E, [2014-07-08T12:56:53.279627 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2014-07-08T12:56:53.279671 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2014-07-08T12:56:53.279715 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:37:in `block in call'
E, [2014-07-08T12:56:53.279759 #45607] ERROR -- Kitchen: /Users/bao/.rvm/rubies/ruby-1.9.3-p545/lib/ruby/1.9.1/benchmark.rb:280:in `measure'
E, [2014-07-08T12:56:53.279803 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:36:in `call'
E, [2014-07-08T12:56:53.279906 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:47:in `perform'
E, [2014-07-08T12:56:53.279960 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2014-07-08T12:56:53.280007 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2014-07-08T12:56:53.280053 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2014-07-08T12:56:53.280099 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:233:in `invoke_task'
E, [2014-07-08T12:56:53.280145 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2014-07-08T12:56:53.280192 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2014-07-08T12:56:53.280239 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/bin/kitchen:13:in `block in <top (required)>'
E, [2014-07-08T12:56:53.280286 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2014-07-08T12:56:53.280333 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/bin/kitchen:13:in `<top (required)>'
E, [2014-07-08T12:56:53.280380 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/bin/kitchen:23:in `load'
E, [2014-07-08T12:56:53.280426 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/bin/kitchen:23:in `<main>'
E, [2014-07-08T12:56:53.280471 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/bin/ruby_executable_hooks:15:in `eval'
E, [2014-07-08T12:56:53.280534 #45607] ERROR -- Kitchen: /Users/bao/.rvm/gems/ruby-1.9.3-p545/bin/ruby_executable_hooks:15:in `<main>'
E, [2014-07-08T12:56:53.280582 #45607] ERROR -- Kitchen: ----------------------
